Car Name,Price
ايجار سيارات مرسيدس للسياحه Al-attar Rent Car,"EGP 3,000"
PORSCHE CAYENNE S 2022 PLATINUM,"EGP 2,000,000"
Mercedes Benz C200 all colors,"EGP 1,000,000"
porsche carrera 911 2022,"EGP 1,500,000"
أجر عربيتك بدل ركنتها,"EGP 22,000"
توسان  للايجار الشهري استخدام شخصي فقط,EGP 600
تويوتا لاند كروزر 2021/2022,"EGP 7,500"
النترا للايجار الاسبوعي والشهرى,EGP 400
Volks wagen Passat,"EGP 410,000"
هيونداي كريتا,"EGP 264,000"
BMW i 520 للايجار الشخصي فقط,"EGP 22,000"
جراند شيروكي 2021 ب 3500 جنيه للمشاوير اليومية بالسائق فقط,"EGP 3,500"
شركة بينز لخدمات البترول,"EGP 15,000"
للايجار ايجل 7 راكب,EGP 750
فبريكه بالكامل,"EGP 400,000"
إيجار سيارة هيونداي توسان,"EGP 1,000"
kia xceed,"EGP 263,000"
Mini cooper cabriolet JCW,"EGP 1,800,000"
lada granta لادا جرنتا,"EGP 86,400"
نيسان سنترا اعلي فئه بصمه فابريكه,"EGP 355,000"
Mercedes E200,"EGP 2,500,000"
فولكس فاجن تيجوان,"EGP 505,000"
velar se,"EGP 3,850,000"
إيجار سيارة كيا جراند سيراتو ٢٠٢٢,EGP 900
Citroen C5,"EGP 315,000"
سكودا فابيا - استلام فوري,"EGP 250,000"
Mercedes Benz E200 AMG 2021,"EGP 1,650,000"
هيونداي توسان استلام فوري من حميدو موتورز,"EGP 600,000"
تويوتا فورتشنر 2700 2023 بالتقسيط استلام فوري كل الالوان باسعار زمان,"EGP 300,000"
مرسيدس GLC الشكل الجديد,"EGP 3,300,000"
مرسيدس كابورليه للزفاف ب2000جنيه فقط شامل السواق والبنزين وبوكيه الورد,"EGP 2,000"
Kia Sportage 2023 Highline,"EGP 1,600,000"
Golf cart off Road Z 4 Seats,"EGP 230,000"
سوزوكي سويفت ٢٠٢٢,"EGP 140,000"
شينراي x30,"EGP 85,000"
نيسان صني ٢٠١٤ حالة ممتازة,"EGP 270,000"
نيسان صني 2023 بارخص سعر في مصر كاش وتقسيط,"EGP 135,000"
Porsche carera بورش كاريرا 911,"EGP 3,400,000"
نيسان سنترا - السيارة الاكثر اعتمادية - استلام فوري,"EGP 189,000"
Range Rover Velar  2022,"EGP 850,000"
فولكس فاجن باسات - السيارة الالمانية المميزة للغاية,"EGP 439,000"
اكسنت ار بي موديل ٢٠١٦,"EGP 340,000"
fiat tipo 2022,"EGP 690,000"
ستروين ds3 فابريكه,"EGP 300,000"
شيفروليه دبابة فاضية 2023 بالتقسيط استلام فوري ومقدم بسيط,"EGP 117,000"
حساس هواء تويوتا,"EGP 4,500"
طقم جنط ١٥ لانسرباكوتش,"EGP 4,300"
مزدا 2 بسعر لقطه قابل للتوفض البسيط,"EGP 425,000"
كبوت لادا 2107,EGP 375
سياره. للايجار.,EGP 100
م/حماده جمال,EGP 500
كربراتير استيراد اسكودا فليشيا ٥٠٠جنيه,EGP 500
فانتازيا هاي لاين بحاله المصنع يلكامل,"EGP 480,000"
سيتروين سي 3 بيكاسو 2016اتوماتيك فبريكه بالكامل حزام نظافه,"EGP 305,000"
دينمو مازدا ياباني اصلي خلع ومارش ريتمو,EGP 500
للبدل فورد كوجا أعلى فئه ، أوتو بارك,"EGP 600,000"
Magnetic Mini Vehicle GPS GSM GPRS Car Tracking Locator احمى سيارتك,"EGP 3,500"
Kadjar 22 اعلي فئه,"EGP 1,000,000"
Mg zs 2022 luxury اعلي فئه,"EGP 715,000"
AMG 2019 صيانة جاز بالفواتير كاوتش جديد اصدار اخر ٢٢,"EGP 1,720,000"
E200 coupe 2023,"EGP 3,600,000"
01061719699 اوبترا كسر زيرو,"EGP 435,000"
Bmw 316i 2011 فبريكة بالكامل من الخارج و الداخل حالة نادرة,"EGP 495,000"
كيا اسبورتاج 2015,"EGP 650,000"
مرسيدس c 180,"EGP 830,000"
كيا جراند سيراتو 2021,"EGP 585,000"
توسان ٢٠١٩ توب لاين تربو,"EGP 970,000"
ليموزين ايجار سيارات العدوي ليموزين,EGP 600
هيونداي توسان,"EGP 1,070,000"
Mg5 اعلي فئه ٢٠٢١ للبيع,"EGP 480,000"
بيجو ٥٠٥ موديل ٨٣ بحالة نادرة,"EGP 140,000"
فانتازيا 2013 تانى فئه فبريكا بره وجوه بالكامل,"EGP 492,000"
الوحيدة زلموكة 320موديل 95,"EGP 500,000"
Triptick G class 2018 - Edition 1 - Gomrok - جمرك,"EGP 2,850,000"
"Mercedes E200 Caporale  , 2023","EGP 1,245,000"
Range rover evoque,"EGP 1,000,000"
سانج يونج تيفولي xlv  أعلي فئة فابريكة بالكامل 2017للبيع,"EGP 560,000"
تيجو 7 أول فئة أوتوماتيك فابريكة بالكامل 2021للبيع,"EGP 550,000"
Skoda a8,"EGP 900,000"
فبريكة بالكامل kIA سيراتو 2017  k4,"EGP 478,000"
رينو لوجان ٢٠١٦,"EGP 190,000"
جيب جراند شيروكي 2019 بحالة ممتازة,"EGP 1,910,000"
Mercedes S500 AMG 2022 مرسيدس,"EGP 8,100,000"
Tiggo 7,"EGP 545,000"
الوحيد بمصر زيرو C180 EXCLUSIVE 2015 أعلي فئه بانوراما ضمان الوكيل,"EGP 1,650,000"
Mercedes cla 200 amg,"EGP 2,300,000"
لوجان 2016 كامله اوتوماتيك اعلي فئه,"EGP 205,000"
Mercedes cls 500,"EGP 1,200,000"
Range Rover Evoque P200 2023,"EGP 3,250,000"
Bmw X5 50000km,"EGP 2,550,000"
Renault Kadjar Highline for sale,"EGP 640,000"
بيجو 5008 موديل2019,"EGP 900,000"
peugeot 508 Gt line,"EGP 1,150,000"
سقف جلد للبيع,"EGP 3,000"
كارسيت وكاريكوت stokke,"EGP 2,800"
نيسان صني كسر زيرو,"EGP 448,000"
سيارة لقطة,"EGP 230,000"
تطلب شركه بتروليه سيارات للايجار السنوي موديلات حديثه,"EGP 21,000"
أجر عربيتك بدل ركنتها,"EGP 22,000"
لانسر شارك ٢٠٠٨,"EGP 325,000"
باب لادا,EGP 350
كانشيل,"EGP 90,000"
شيري تيجو ٣ اعلي فءه  موديل ٢٠١٧,"EGP 355,000"
عربيه BMW X1 هاتشباك,"EGP 850,000"
Mg rx5 2021 for sale,"EGP 750,000"
متسوبيشي لانسر ٢٠١٥ شرق اوسط,"EGP 560,000"
السيارة فابريكه ' كامله اوتوماتيك  ' امكانيه التقسيط,"EGP 285,000"
Nissan Sunny,"EGP 218,000"
ايجار يومي بالسائق وتعليم قياده السياره,EGP 500
BMW 318i 2019 luxury,"EGP 995,000"
جراند شيروكي ارخص سعر في مصر,"EGP 1,000,000"
اوبل استرا 2013,"EGP 300,000"
HONDA ENS1 2023 كهرباء,"EGP 1,400,000"
Kia Sportage black edition 2022كاش وتقسيط,"EGP 375,000"
نيسان صني كسر  زيرو 2022,"EGP 435,000"
كيا كارنز ٢٠٢٢ توب لاين,"EGP 1,300,000"
pajero 2014 for sale,"EGP 1,150,000"
سيارة E-pace بحالة ممتازة,"EGP 1,670,000"
MG ZS 2022 zero comfort,"EGP 670,000"
Skoda Octavia (2015) 1600cc,"EGP 520,000"
بيجو 5008 ( peugeot 5008 ) موديل 2011 فبريكا اعلى فئة,"EGP 385,000"
جيلي x7موديل ٢٠٢٠ باكياسها١٢الف كم صيانه توكيل بالفواتير,"EGP 525,000"
BMW 330,"EGP 1,000,000"
Mercedes GT43,"EGP 2,000,000"
BMW Z4,"EGP 1,000,000"
باسات للبيع فابريقة بالكامل صيانات دورية,"EGP 900,000"
BMW 430i,"EGP 1,000,000"
BM 520,"EGP 1,870,000"
opel astra 2021 68000k. m,"EGP 560,000"
E350 amg 2019 fully loaded,"EGP 2,850,000"
Mercedes A180,"EGP 1,375,000"
فيات تيبو هاتشباك & سيدان . . متوفره الان,"EGP 250,000"
لادا جرانتا,"EGP 115,000"
نيسان صني 2020,"EGP 385,000"
دبابه,"EGP 340,000"
فولكس فاجن بورا,"EGP 170,000"
punto coupe 1.4 original T-jet,"EGP 250,000"
نيسان صني 2017,"EGP 310,000"
pegeout 508 Allure plus like Zero,"EGP 1,070,000"
چيلي كول راي 2023,"EGP 255,000"
فانوس,EGP 800
سياره للاجار تيجو 2019,"EGP 8,000"
بيع سياره افيو,"EGP 210,000"
Proton #SAGA 2022 السيارة ماليزية الصنع,"EGP 130,000"
صاني فاتوره زيروو تاني فئه,"EGP 459,000"
"Opel Insignia 2018 65,000KM","EGP 700,000"
CLA 180 perfect condition,"EGP 1,250,000"
جاجور xf موديل ٢٠١٤ بريميم جمرك للاجانب و حاملي الاقامات   في مصر,"EGP 465,000"
BMW 320i . exclusive . 2015 .,"EGP 840,000"
فيات تيبو 2021 فابريكه للبيع,"EGP 520,000"
لوجان اتوماتيك 55000كم فقط,"EGP 210,000"
افضل عروض لسيارات جيلي 2023,"EGP 315,000"
hd 2017,"EGP 270,000"
سياره للبيع,"EGP 285,000"
للايجار ايجل 7 راكب,EGP 750
samsung SQ 5  automatic,"EGP 130,000"
چيب رنيجيد الفئة التانية متاح استلام فورررري,"EGP 330,000"
نيسان صني ٢٠٢٢هاي لاين,"EGP 430,000"
Maserati levante GT,"EGP 1,100,000"
لوجان فابريكه صيانه وكيل بالكامل,"EGP 375,000"
كيا بيكانتو,"EGP 345,000"
يوجد انوع جميع السيارت لي الايجار,EGP 500
شاهين 2005,"EGP 58,000"
رينو فلوانس 2016,"EGP 300,000"
عجلة Dodge,"EGP 1,300"
عربية جيلى موديل ٢٠٠٩,"EGP 70,000"
ID4 X PRO فولكس واجن برو,"EGP 1,750,000"
فريم كيا سيراتو ٢٠١٠,EGP 650
رينو ستيب واي ٢٠١٩,"EGP 450,000"
بروتون ساجا ٢٠٢٢ اتوماتيك,"EGP 102,500"
تويوتا فورتشنر عاصفه الصحراء  2700 cc  163 h p,"EGP 600,000"
x6 68000km,"EGP 1,900,000"
نيسان تيدا 2007  هاى لاين اوتوماتيك,"EGP 230,000"
ريو هاي لاين فبريكه باكامل ٢٠١٣ فتحت سقف,"EGP 375,000"
